field_index,ra0_deg,dec0_deg,target_name,n_target_names,Nvisits,field_mjd_min,field_mjd_max,field_span_days,field_span_years,ebv_mw,R_u_mw,A_u_mw,R_g_mw,A_g_mw,R_r_mw,A_r_mw,R_i_mw,A_i_mw,R_z_mw,A_z_mw,R_y_mw,A_y_mw
22,55.71666756432058,-3.1574791323062916,lowdust,1,776,61211.43091873363,64790.98727086291,3579.556352129279,9.80029117626086,0.08120382577180862,4.757217815396922,0.38630428664003574,3.6605664439892616,0.29725199974383304,2.70136780871597,0.2193614008845441,2.0536599130965882,0.16676504177764298,1.5900964472616756,0.129121914863809,1.3077049588254708,0.1061906456373937
23,130.12114307944407,-7.9793575356513,lowdust,1,729,61295.40088712995,64821.973455833504,3526.572568703552,9.655229483103495,0.026970308274030685,4.757217815396922,0.1283036310079658,3.6605664439892616,0.09872660545196267,2.70136780871597,0.07285672256261247,2.0536599130965882,0.05538784094623405,1.5900964472616756,0.04288539136808837,1.3077049588254708,0.035269205871001554
24,143.18442504580284,14.320545673332795,"lowdust, nes",1,711,61218.95223959319,64849.0130267863,3630.060787193106,9.938564783554021,0.03848553076386452,4.757217815396922,0.1830840525848626,3.6605664439892616,0.14087884249331886,2.70136780871597,0.10396357390685175,2.0536599130965882,0.07903619176399408,1.5900964472616756,0.06119570573860089,1.3077049588254708,0.05032771942293584
25,139.1782585536289,8.776836584198467,lowdust,1,704,61218.95148250923,64829.02387138071,3610.0723888714856,9.883839531475662,0.04256542772054672,4.757217815396922,0.20249301107217488,3.6605664439892616,0.15581357638788365,2.70136780871597,0.1149848762085113,2.0536599130965882,0.0874149125934971,1.5900964472616756,0.06768313539461498,1.3077049588254708,0.055663020904686104
26,351.27504091555676,-60.44559358997671,lowdust,1,669,61208.429570852946,64853.27526635026,3644.8456954973153,9.979043656392376,0.01835293136537075,4.757217815396922,0.0873088920560987,3.6605664439892616,0.06718212470491419,2.70136780871597,0.049578017985986184,2.0536599130965882,0.03769067943287494,1.5900964472616756,0.029182930960913404,1.3077049588254708,0.024000219355478847
27,162.7825077567405,-47.63355730720446,"lowdust, GW_case_B_C_467",1,776,61385.353293190485,64852.05373413458,3466.7004409440924,9.491308530989986,0.23575277626514435,4.757217815396922,1.1215273072778293,3.6605664439892616,0.8629887018734954,2.70136780871597,0.6368549606180793,2.0536599130965882,0.48415602601695573,1.5900964472616756,0.3748696519712827,1.3077049588254708,0.308295074578801
28,244.92688425111885,-26.271411171126616,dusty_plane,1,224,61209.22614010686,64838.17140294997,3628.94526284311,9.935510644334318,1.1289587020874023,4.757217815396922,5.370702450417577,3.6605664439892616,4.132628341510815,2.70136780871597,3.0497326951886716,2.0536599130965882,2.3184972300184516,1.5900964472616756,1.7951532212943309,1.3077049588254708,1.4763448930288634
29,304.3511416050091,-19.86486371400509,lowdust,1,710,61209.3594630661,64853.33850996077,3643.9790468946667,9.976670901833447,0.08788469433784485,4.757217815396922,0.41808663360470855,3.6605664439892616,0.3217077630333679,2.70136780871597,0.23740888416309675,2.0536599130965882,0.18048527373637868,1.5900964472616756,0.1397451402352854,1.3077049588254708,0.11492725059046048
30,330.6200287693395,-0.9883174660509024,lowdust,1,636,61213.38764128561,64839.40020543288,3626.0125641472696,9.927481352901491,0.08675485849380493,4.757217815396922,0.41271175839896784,3.6605664439892616,0.3175719238554591,2.70136780871597,0.2343567819848739,2.0536599130965882,0.17816497515509425,1.5900964472616756,0.13794859227368864,1.3077049588254708,0.11344975865455072
31,307.64033366770303,1.4073190972964993,lowdust,1,724,61218.20070280031,64851.35810570491,3633.157402904595,9.947042855317166,0.15037751197814941,4.757217815396922,0.7153785790175164,3.6605664439892616,0.5504668742778069,2.70136780871597,0.406224970012573,2.0536599130965882,0.3088242681807275,1.5900964472616756,0.23911474754450546,1.3077049588254708,0.1966494181096626
32,233.3616737029993,-30.56401607858382,"lowdust, dusty_plane",1,507,61209.177600428295,64854.19776627889,3645.0201658505976,9.97952133018644,0.2194511741399765,4.757217815396922,1.0439770352284685,3.6605664439892616,0.803315604150842,2.70136780871597,0.5928183374066551,2.0536599130965882,0.4506780792132484,1.5900964472616756,0.34894853234737994,1.3077049588254708,0.28697738864291916
